Credit,balance_credit_acc,duration,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,Random
1,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1,8
1,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,1,1,1,8
0,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1,8
1,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,1,8
1,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,1,8
1,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1,8
1,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1,8
1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1,8
1,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1,8
0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,1,8
1,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,1,8
1,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,1,8
1,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1,8
1,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,1,8
1,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,1,2,1,8
1,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,1,8
1,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1,8
1,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,1,1,1,8
1,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,2,2,1,8
1,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,1,8
1,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1,8
1,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,1,8
1,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,2,8
1,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,1,1,8
1,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,1,1,1,8
1,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,1,8
1,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,2,1,1,8
1,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,2,2,1,8
1,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2,8
1,4,24,4,0,1287,4,5,4,2,1,4,1,37,3,2,2,3,1,2,1,8
1,4,24,4,6,1927,5,3,3,2,1,2,3,33,3,2,2,3,1,2,1,8
1,1,24,1,1,3632,1,3,1,2,3,4,3,22,1,1,1,3,1,1,2,8
1,4,18,4,1,3229,5,1,2,3,1,4,4,38,3,2,1,4,1,2,1,8
1,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2,8
1,4,6,4,2,1221,5,3,1,4,1,2,2,27,3,2,2,3,1,1,1,8
1,1,24,2,2,3021,1,3,2,1,1,2,1,24,3,1,1,2,1,1,1,8
1,4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,1,1,1,8
1,4,15,2,1,4657,1,3,3,3,1,2,3,30,3,2,1,3,1,2,1,8
1,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1,8
1,2,9,2,0,3195,5,3,1,2,1,2,1,33,3,2,1,2,1,1,1,8
1,4,12,2,2,1574,1,3,4,3,1,2,1,50,3,2,1,3,1,1,1,8
1,4,36,2,1,4686,1,3,2,3,1,2,4,32,3,3,1,4,1,2,1,8
1,4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,2,8
1,4,12,4,2,1592,4,4,3,2,1,2,2,35,3,2,1,3,1,1,1,8
1,4,12,4,9,1185,1,3,3,2,1,2,1,27,3,2,2,3,1,1,1,8
1,4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,1,1,1,8
1,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,1,1,8
1,4,6,4,3,1740,1,5,2,4,1,2,1,30,3,1,2,3,1,1,1,8
1,4,18,2,3,1126,5,2,4,2,1,2,1,21,3,1,1,3,1,2,1,8
1,1,12,2,3,701,1,3,4,4,1,2,1,40,3,2,1,2,1,1,1,8
1,4,4,4,0,3380,1,4,1,2,1,1,1,37,3,2,1,3,2,1,1,8
1,4,6,4,0,362,2,3,4,2,1,4,3,52,3,2,2,2,1,1,1,8
1,3,12,2,0,1330,1,2,4,3,1,1,1,26,3,2,1,3,1,1,1,8
1,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1,8
1,1,12,2,0,1893,1,3,4,2,3,4,2,29,3,2,1,3,1,2,1,8
1,1,6,4,2,1872,1,1,4,3,1,4,4,36,3,3,3,4,1,2,1,8
